plan,departement,commune,adresse,date_vente,annee_construction,nb_pieces,etage,surface_carrez,surface_utile,prix,prix_surface_carrez,prix_surface_utile
1,86,NEUVILLE-DE-POITOU,6 B BD JULES FERRY,18/12/2019,2007,2,2,48,48,60000,"1257,60","1250,00"
1,86,NEUVILLE-DE-POITOU,45 B RUE DU SGT BANGOURA MORIDE,18/12/2019,2007,2,1,47,48,66000,"1391,82","1375,00"
10,86,CHATELLERAULT,6 RUE MAURICE VLAMINCK,05/12/2019,2005,2,0,,48,45000,,"937,50"
9,86,CHATELLERAULT,6 RUE MAURICE VLAMINCK,05/12/2019,2005,2,0,,48,45000,,"937,50"
9,86,CHATELLERAULT,6 RUE MAURICE VLAMINCK,28/11/2019,2005,3,2,,54,53000,,"981,48"
9,86,CHATELLERAULT,6 RUE MAURICE VLAMINCK,28/11/2019,2005,3,1,,62,60000,,"967,74"
16,86,CHATELLERAULT,8 RUE SAINT ROMAIN,15/11/2019,1972,3,1,,58,70000,,"1206,90"
13,86,CHATELLERAULT,18 RUE DU SOUCI,14/11/2019,1991,2,0,,32,39000,,"1218,75"
13,86,CHATELLERAULT,42 AV PIERRE ABELIN,14/11/2019,1966,4,1,,74,39560,,"534,59"
17,86,CHATELLERAULT,18 RUE DU SOUCI,14/11/2019,1991,2,0,,32,39000,,"1218,75"
1,86,NEUVILLE-DE-POITOU,6 B BD JULES FERRY,13/11/2019,2007,2,0,48,48,53000,"1094,14","1104,17"
1,86,NEUVILLE-DE-POITOU,45 B RUE DU SGT BANGOURA MORIDE,12/11/2019,2007,2,0,48,48,55000,"1151,35","1145,83"
15,86,CHATELLERAULT,6 RUE DE LA ROSERAIE,23/10/2019,2001,3,0,74,69,87500,"1177,98","1268,12"
11,86,CHATELLERAULT,37 AV PIERRE ABELIN,11/10/2019,1960,3,0,57,57,37000,"646,97","649,12"
2,86,CHATELLERAULT,3 RUE DE LA CROIX ROUGE,08/10/2019,1980,2,5,,71,56000,,"788,73"
4,86,CHATELLERAULT,6 RUE GABRIEL FAURE,07/10/2019,1965,3,3,,57,27000,,"473,68"
7,86,CHATELLERAULT,13 AV MARECHAL LECLERC,04/10/2019,1973,3,1,,69,63000,,"913,04"
6,86,CHATELLERAULT,13 AV MARECHAL FOCH,18/09/2019,1981,1,2,,26,23000,,"884,62"
7,86,CHATELLERAULT,13 RUE DE LA PAIX,18/09/2019,1981,1,1,22,21,19000,"883,72","904,76"
6,86,CHATELLERAULT,13 AV MARECHAL FOCH,18/09/2019,1981,1,2,,26,23000,,"884,62"
10,86,CHATELLERAULT,13 RUE DE LA PAIX,18/09/2019,1981,1,1,22,21,19000,"883,72","904,76"
9,86,CHATELLERAULT,36 AV MARECHAL LECLERC,13/09/2019,1992,2,1,,47,50000,,"1063,83"
8,86,CHATELLERAULT,36 AV MARECHAL LECLERC,13/09/2019,1992,2,1,,47,50000,,"1063,83"
18,86,CHATELLERAULT,14 AV ADRIEN TREUILLE,04/09/2019,1968,3,1,,79,68000,,"860,76"
3,86,CHATELLERAULT,4 BD FELIX FAURE,02/09/2019,1967,3,1,,66,70000,,"1060,61"
11,86,CHATELLERAULT,35 AV PIERRE ABELIN,30/08/2019,1960,3,1,,57,42000,,"736,84"
8,86,CHATELLERAULT,15 AV MARECHAL FOCH,29/08/2019,1982,2,1,,47,49000,,"1042,55"
6,86,CHATELLERAULT,15 AV MARECHAL FOCH,29/08/2019,1982,2,1,,47,49000,,"1042,55"
12,86,CHATELLERAULT,36 AV PIERRE ABELIN,23/08/2019,1964,4,1,68,68,42060,"615,18","618,53"
3,86,CHATELLERAULT,3 RUE DE LA CROIX ROUGE,22/08/2019,1980,2,2,53,53,48000,"906,52","905,66"
2,86,CHATELLERAULT,3 RUE DE LA CROIX ROUGE,22/08/2019,1980,2,2,53,53,48000,"906,52","905,66"
4,86,CHATELLERAULT,4 RUE GABRIEL FAURE,21/08/2019,1965,3,4,59,57,28000,"477,73","491,23"
9,86,CHATELLERAULT,6 RUE MAURICE VLAMINCK,09/08/2019,2005,3,2,63,63,90500,"1447,54","1436,51"
14,86,CHATELLERAULT,16 RUE RAYMOND PITET,30/07/2019,1975,4,7,72,72,72000,"995,71","1000,00"
11,86,CHATELLERAULT,41 AV PIERRE ABELIN,24/07/2019,1960,3,4,,57,51000,,"894,74"
1,86,NEUVILLE-DE-POITOU,6 B BD JULES FERRY,22/07/2019,2007,2,0,,55,72000,,"1309,09"
1,86,CHATELLERAULT,88 BD BLOSSAC,10/07/2019,1850,3,0,,45,45000,,"1000,00"
2,86,NEUVILLE-DE-POITOU,24 RUE DES LILAS,09/07/2019,2003,2,2,,40,85500,,"2137,50"
10,86,CHATELLERAULT,6 RUE MAURICE VLAMINCK,28/06/2019,2005,2,1,48,49,38000,"787,08","775,51"
9,86,CHATELLERAULT,6 RUE MAURICE VLAMINCK,28/06/2019,2005,2,1,48,49,38000,"787,08","775,51"
2,86,CHATELLERAULT,39 BD ARISTIDE BRIAND,27/06/2019,1979,2,3,,56,46000,,"821,43"
2,86,CHATELLERAULT,39 BD ARISTIDE BRIAND,27/06/2019,1979,2,3,,56,46000,,"821,43"
1,86,CHATELLERAULT,54 RUE AIME RASSETEAU,25/06/2019,1985,1,1,33,33,34500,"1045,45","1045,45"
1,86,CHATELLERAULT,54 RUE AIME RASSETEAU,25/06/2019,1985,1,1,33,33,34500,"1045,45","1045,45"
15,86,CHATELLERAULT,6 AV ROBERT SCHUMAN,25/06/2019,1974,3,1,62,62,60000,"964,48","967,74"
12,86,CHATELLERAULT,32 AV PIERRE ABELIN,21/06/2019,1965,4,2,,68,55000,,"808,82"
7,86,CHATELLERAULT,13 RUE DE LA PAIX,17/06/2019,1981,1,4,,37,35000,,"945,95"
10,86,CHATELLERAULT,13 RUE DE LA PAIX,17/06/2019,1981,1,4,,37,35000,,"945,95"
3,86,CHATELLERAULT,5 RUE DE LA CROIX ROUGE,29/05/2019,1979,2,4,,53,40000,,"754,72"
3,86,CHATELLERAULT,5 RUE DE LA CROIX ROUGE,29/05/2019,1979,2,4,,53,40000,,"754,72"
12,86,CHATELLERAULT,12 RUE DE LA ROSERAIE,28/05/2019,2004,2,2,,58,65000,,"1120,69"
16,86,CHATELLERAULT,12 RUE DE LA ROSERAIE,28/05/2019,2004,2,2,,58,65000,,"1120,69"
14,86,CHATELLERAULT,26 AV ADRIEN TREUILLE,27/05/2019,1997,2,1,,56,90000,,"1607,14"
17,86,CHATELLERAULT,26 AV ADRIEN TREUILLE,27/05/2019,1997,2,1,,56,90000,,"1607,14"
18,86,CHATELLERAULT,47 BD VICTOR HUGO,24/05/2019,1964,3,2,,72,75000,,"1041,67"
3,86,CHATELLERAULT,11 RUE GUILLEMOT,13/05/2019,1982,1,3,,24,30000,,"1250,00"
6,86,CHATELLERAULT,11 RUE GUILLEMOT,13/05/2019,1982,1,3,,24,30000,,"1250,00"
7,86,CHATELLERAULT,19 RUE GUILLEMOT,10/05/2019,1964,3,4,,60,31000,,"516,67"
9,86,CHATELLERAULT,6 RUE MAURICE VLAMINCK,02/05/2019,2005,3,1,54,54,50000,"927,47","925,93"
5,86,CHATELLERAULT,38 B AV GEORGES CLEMENCEAU,19/04/2019,1990,3,0,75,83,77434,"1034,94","932,94"
12,86,CHATELLERAULT,12 RUE DE LA ROSERAIE,12/04/2019,2004,2,2,47,46,69500,"1468,41","1510,87"
16,86,CHATELLERAULT,12 RUE DE LA ROSERAIE,12/04/2019,2004,2,2,47,46,69500,"1468,41","1510,87"
9,86,CHATELLERAULT,36 AV MARECHAL LECLERC,29/03/2019,1992,2,3,,57,82000,,"1438,60"
8,86,CHATELLERAULT,36 AV MARECHAL LECLERC,29/03/2019,1992,2,3,,57,82000,,"1438,60"
14,86,CHATELLERAULT,44 AV PIERRE ABELIN,20/03/2019,1966,4,2,77,74,48000,"624,76","648,65"
7,86,CHATELLERAULT,21 RUE GUILLEMOT,14/03/2019,1964,4,3,,75,43000,,"573,33"
9,86,CHATELLERAULT,6 RUE MAURICE VLAMINCK,11/03/2019,2005,3,0,,52,40500,,"778,85"
4,86,CHATELLERAULT,8 BD FELIX FAURE,01/03/2019,1967,3,5,,66,75000,,"1136,36"
7,86,CHATELLERAULT,21 RUE GUILLEMOT,19/02/2019,1964,3,2,,57,41000,,"719,30"
13,86,CHATELLERAULT,36 AV PIERRE ABELIN,18/02/2019,1964,4,1,72,68,42500,"588,89","625,00"
1,86,CHATELLERAULT,52 RUE AIME RASSETEAU,12/02/2019,1985,2,4,,46,48000,,"1043,48"
10,86,CHATELLERAULT,6 RUE MAURICE VLAMINCK,12/02/2019,2005,2,1,48,49,55000,"1136,13","1122,45"
1,86,CHATELLERAULT,52 RUE AIME RASSETEAU,12/02/2019,1985,2,4,,46,48000,,"1043,48"
9,86,CHATELLERAULT,6 RUE MAURICE VLAMINCK,12/02/2019,2005,2,1,48,49,55000,"1136,13","1122,45"
9,86,CHATELLERAULT,6 RUE MAURICE VLAMINCK,01/02/2019,2005,3,1,54,54,55000,"1014,01","1018,52"
11,86,CHATELLERAULT,18 AV PIERRE ABELIN,29/01/2019,1978,3,1,63,62,50000,"793,65","806,45"
3,86,NEUVILLE-DE-POITOU,6 RUE VICTOR HUGO,17/01/2019,2018,3,1,61,60,158000,"2595,70","2633,33"
16,86,CHATELLERAULT,6 RUE DE LA ROSERAIE,07/01/2019,2001,3,1,72,71,71000,"988,31","1000,00"
8,86,CHATELLERAULT,44 RUE MOZART,28/12/2018,1965,5,3,69,68,47000,"678,41","691,18"
7,86,CHATELLERAULT,6 RUE MAURICE VLAMINCK,27/12/2018,2005,3,1,,54,55860,,"1034,44"
7,86,CHATELLERAULT,6 RUE MAURICE VLAMINCK,21/12/2018,2005,3,0,,54,57980,,"1073,70"
7,86,CHATELLERAULT,6 RUE MAURICE VLAMINCK,18/12/2018,2005,1,1,,28,29560,,"1055,71"
17,86,CHATELLERAULT,47 BD VICTOR HUGO,06/12/2018,1964,1,3,,35,26000,,"742,86"
7,86,CHATELLERAULT,6 RUE MAURICE VLAMINCK,30/11/2018,2005,2,0,48,47,40000,"837,52","851,06"
13,86,CHATELLERAULT,8 RUE SAINT ROMAIN,07/11/2018,1972,2,4,,44,38000,,"863,64"
9,86,CHATELLERAULT,13 RUE DE LA PAIX,06/11/2018,1981,1,1,,34,21000,,"617,65"
10,86,CHATELLERAULT,18 AV PIERRE ABELIN,31/10/2018,1978,2,2,48,48,85000,"1764,22","1770,83"
14,86,CHATELLERAULT,8 RUE DU TABARY,26/10/2018,1975,4,4,80,79,69500,"864,54","879,75"
1,86,CHATELLERAULT,38 RUE DE L ANGELARDE,23/10/2018,1995,3,1,79,78,114000,"1450,94","1461,54"
7,86,CHATELLERAULT,6 RUE MAURICE VLAMINCK,18/10/2018,2005,3,1,66,62,56000,"845,67","903,23"
12,86,CHATELLERAULT,12 RUE DE LA ROSERAIE,18/10/2018,2004,2,1,45,43,57200,"1277,64","1330,23"
16,86,CHATELLERAULT,24 AV ADRIEN TREUILLE,10/10/2018,1997,3,4,66,65,65000,"989,35","1000,00"
11,86,CHATELLERAULT,46 AV PIERRE ABELIN,03/10/2018,1966,4,2,71,75,44000,"618,67","586,67"
7,86,CHATELLERAULT,6 RUE MAURICE VLAMINCK,21/09/2018,2005,3,2,50,54,60000,"1199,04","1111,11"
15,86,CHATELLERAULT,14 AV ADRIEN TREUILLE,19/09/2018,1968,3,4,79,76,80000,"1016,39","1052,63"
13,86,CHATELLERAULT,8 RUE SAINT ROMAIN,05/09/2018,1972,3,2,68,68,78000,"1152,99","1147,06"
5,86,CHATELLERAULT,45 RUE GUILLEMOT,30/08/2018,2017,3,2,73,71,45000,"614,25","633,80"
2,86,CHATELLERAULT,22 RUE CAMILLE LEBEAU,23/08/2018,2009,3,2,80,80,140000,"1749,56","1750,00"
6,86,CHATELLERAULT,15 AV MARECHAL FOCH,23/08/2018,1982,1,1,29,27,40000,"1388,41","1481,48"
12,86,CHATELLERAULT,12 RUE DE LA ROSERAIE,27/07/2018,2004,2,2,46,45,50000,"1097,94","1111,11"
4,86,CHATELLERAULT,17 RUE GUILLEMOT,24/07/2018,1963,4,3,,70,65000,,"928,57"
3,86,CHATELLERAULT,1 RUE CHANOINE VILLENEUVE,02/07/2018,2017,3,1,62,62,110000,"1772,48","1774,19"
14,86,CHATELLERAULT,11 AV MARECHAL LECLERC,25/06/2018,1973,2,1,41,41,53000,"1277,42","1292,68"
6,86,CHATELLERAULT,8 BD FELIX FAURE,22/06/2018,1967,4,1,75,75,42500,"567,20","566,67"
10,86,CHATELLERAULT,23 RUE GUILLEMOT,14/06/2018,1965,4,0,,74,50000,,"675,68"
7,86,CHATELLERAULT,36 AV GEORGES CLEMENCEAU,31/05/2018,1975,2,4,,46,28000,,"608,70"
3,86,CHATELLERAULT,52 RUE AIME RASSETEAU,29/05/2018,1985,3,2,,69,50000,,"724,64"
21,86,CHATELLERAULT,6 AV ROBERT SCHUMAN,29/05/2018,1974,2,3,,43,48000,,"1116,28"
18,86,CHATELLERAULT,13 RUE DE LA PAIX,23/05/2018,1981,1,5,33,35,33000,"999,09","942,86"
19,86,CHATELLERAULT,18 AV PIERRE ABELIN,23/05/2018,1978,1,1,,31,24000,,"774,19"
2,86,CHATELLERAULT,18 RUE ADRIENNE DUCHEMIN,14/05/2018,,3,0,,56,70000,,"1250,00"
8,86,CHATELLERAULT,11 RUE GUILLEMOT,30/04/2018,1982,2,3,,35,34000,,"971,43"
5,86,CHATELLERAULT,1 RUE DE LA CROIX ROUGE,27/04/2018,1979,2,3,,58,40000,,"689,66"
